Player,AVG,OPS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HPB,SO,GDP,OB%,SF,SH
Teala Howard (West Florida),0.435,1.097,168,46,73,9,6,4,19,106,0.631,4,6,11,0,0.466,0,0
R.J. Janke (West Georgia),0.434,1.378,76,14,33,8,0,9,29,68,0.895,6,3,13,0,0.483,2,0
Cassie Matlock (West Alabama),0.423,1.104,168,48,71,13,6,3,37,105,0.625,19,2,12,0,0.479,3,2
Shelby Booker (Alabama Huntsville),0.42,0.997,188,52,79,5,7,1,23,101,0.537,10,4,14,0,0.46,0,8
Sierra Easterwood (Montevallo),0.395,1.364,162,52,64,14,4,20,59,146,0.901,20,4,14,0,0.463,4,1
Kaylee Vaught (Alabama Huntsville),0.393,1.03,196,44,77,14,4,6,43,117,0.597,16,0,16,1,0.433,3,0
Breanna Patton (Lee),0.391,0.999,174,42,68,16,2,2,31,94,0.54,14,8,16,0,0.459,0,2
Kelsie Gilliam (West Alabama),0.39,0.844,118,29,46,3,0,0,14,49,0.415,7,1,8,0,0.429,0,9
Haley Ann Frank (Auburn Montgomery),0.385,0.857,161,46,62,4,0,0,20,66,0.41,17,1,22,0,0.447,0,3
Sidney Lee (Lee),0.382,1.1,110,16,42,12,1,5,38,71,0.645,17,2,16,1,0.455,5,1
Kat Fallen (Auburn Montgomery),0.379,1.14,177,35,67,16,1,12,58,121,0.684,24,3,17,0,0.456,2,3
Ana Macha (Lee),0.368,0.863,152,43,56,3,2,1,9,66,0.434,14,2,19,0,0.429,0,2
Taylor De Adder (Lee),0.364,1.122,143,44,52,7,0,9,42,86,0.601,42,7,11,0,0.521,2,5
Kacy Noland (West Alabama),0.363,1.071,168,45,61,16,3,7,56,104,0.619,13,16,11,0,0.452,2,2
Kiara Akles (Alabama Huntsville),0.363,1.111,146,30,53,11,0,12,57,100,0.685,17,2,12,1,0.426,4,3
Erin Moon (West Florida),0.358,0.882,134,14,48,10,1,1,25,63,0.47,11,2,4,0,0.412,1,1
Kristyn Nix (West Georgia),0.358,0.999,137,37,49,10,5,4,25,81,0.591,11,2,19,0,0.408,2,2
Alana Walker (Delta State),0.352,0.76,122,21,43,3,0,0,9,46,0.377,5,1,24,0,0.383,0,2
Javaria Smith (Lee),0.348,0.888,158,37,55,11,2,1,30,73,0.462,23,0,25,1,0.426,2,4
Macey Neal (Union),0.344,0.89,131,26,45,7,2,3,20,65,0.496,9,2,19,0,0.394,0,1
Chandler Mevis (West Georgia),0.341,0.851,129,23,44,11,0,1,20,58,0.45,9,4,16,0,0.401,0,1
Katie Proctor (Valdosta State),0.339,1.007,118,11,40,7,0,7,36,68,0.576,19,0,28,0,0.431,0,1
Faith Wheat (Auburn Montgomery),0.333,0.804,117,27,39,1,4,1,7,51,0.436,7,0,22,0,0.368,1,4
Hannah Carey (Montevallo),0.333,0.902,162,30,54,9,0,6,40,81,0.5,16,4,13,2,0.402,2,0
Ally Clegg (Valdosta State),0.329,1.095,161,47,53,11,0,15,47,109,0.677,22,4,12,0,0.418,2,1
Morgan Jennings (Union),0.327,0.84,113,24,37,9,1,1,16,51,0.451,11,1,22,0,0.389,1,1
Chrissy Tubbs (Delta State),0.326,0.87,138,31,45,8,1,4,17,67,0.486,9,4,11,2,0.384,0,6
Mccall Lee (Mississippi College),0.324,0.835,145,22,47,8,1,2,32,63,0.434,17,3,13,0,0.401,2,0
Elaina McGill (Christian Brothers),0.323,1.122,96,32,31,4,3,6,36,59,0.615,33,5,20,0,0.507,2,1
Jenna Ergle (Mississippi College),0.321,1.081,134,26,43,10,0,10,31,83,0.619,29,7,18,3,0.462,1,0
Alexis Laughlin (Mississippi College),0.321,0.766,140,29,45,5,1,0,19,52,0.371,12,5,21,0,0.395,0,4
Kendall Westbrooks (Christian Brothers),0.319,1.026,135,39,43,12,2,7,30,80,0.593,24,4,29,0,0.433,1,1
Taylor Picou (Delta State),0.318,0.844,132,16,42,10,2,2,28,62,0.47,8,5,13,0,0.374,2,7
Taylor  Robinson (Montevallo),0.316,1.063,152,44,48,11,2,11,46,96,0.632,30,3,26,1,0.431,3,0
Olivia Burns (Delta State),0.316,0.977,79,13,25,9,0,3,14,43,0.544,13,4,19,1,0.433,1,0
Nikki Pennington (Valdosta State),0.316,1.039,152,38,48,8,0,14,43,98,0.645,23,0,25,0,0.394,5,1
Alisha Lanyon (Montevallo),0.315,0.861,162,40,51,10,0,6,36,79,0.488,10,5,24,0,0.373,0,1
Jada Henderson (Alabama Huntsville),0.315,0.89,73,14,23,3,2,1,10,33,0.452,13,3,9,2,0.438,0,3
M. Willingham (Christian Brothers),0.313,0.889,134,38,42,11,0,3,36,62,0.463,25,5,14,1,0.426,5,4
Kaylee Combs (Shorter),0.312,0.784,141,9,44,9,0,2,15,59,0.418,10,2,17,1,0.366,0,0
Laurynn Boggs (West Florida),0.311,0.937,45,22,14,2,1,2,12,24,0.533,6,1,9,0,0.404,0,2
Hannah Morales (Shorter),0.311,0.752,103,21,32,1,0,0,5,33,0.32,21,1,12,0,0.432,0,4
Lauren Hamby (Montevallo),0.31,0.762,126,17,39,8,0,3,21,56,0.444,3,0,24,1,0.318,3,1
Chloe Derrick (Auburn Montgomery),0.309,0.993,162,40,50,8,2,11,45,95,0.586,25,4,21,0,0.407,3,6
Kinley Adams (Montevallo),0.308,0.714,133,30,41,4,1,0,14,47,0.353,11,0,12,0,0.361,0,4
Aniston Gano (Valdosta State),0.308,1.014,143,32,44,6,1,10,37,82,0.573,30,5,20,0,0.441,1,6
Grace White (Union),0.305,0.754,105,15,32,6,0,0,18,38,0.362,14,3,11,1,0.392,3,3
Angela Cecere (Shorter),0.305,0.737,118,17,36,4,1,0,9,42,0.356,15,0,23,0,0.381,1,3
Lawren Hayes (Alabama Huntsville),0.305,0.772,105,22,32,3,1,2,20,43,0.41,8,2,11,0,0.362,1,1
Olivia Aycock (Auburn Montgomery),0.304,0.792,184,44,56,9,5,0,26,75,0.408,24,1,24,0,0.384,2,13
Fallon Groves (Union),0.303,0.81,119,18,36,9,1,4,18,59,0.496,2,0,12,2,0.314,0,0
Madelyn Vasquez (West Florida),0.302,1.015,139,30,42,9,0,11,39,84,0.604,24,3,27,1,0.411,2,1
Bryleigh Carneal (Union),0.302,0.659,129,11,39,5,0,0,8,44,0.341,3,0,29,1,0.318,0,3
Gia Martin (Auburn Montgomery),0.3,0.984,180,42,54,9,6,11,55,108,0.6,25,2,34,1,0.384,4,1
Taylor Macera (Valdosta State),0.3,0.79,150,24,45,9,0,4,33,66,0.44,11,1,16,0,0.35,1,7
Baylee Everson (Valdosta State),0.3,0.639,110,19,33,0,0,0,4,33,0.3,7,0,11,0,0.339,1,6
Annemarie Peavy (Mississippi College),0.298,0.959,141,31,42,9,2,9,40,82,0.582,16,2,31,0,0.377,0,4
Sadie Thompson (Alabama Huntsville),0.298,0.766,124,34,37,5,1,1,19,47,0.379,14,4,18,1,0.387,0,7
Karley Bloesch (Delta State),0.298,0.769,121,12,36,9,0,2,29,51,0.421,7,3,23,2,0.348,1,0
Nicole Buccieri (West Alabama),0.297,0.849,111,11,33,4,1,3,25,48,0.432,23,4,14,0,0.417,6,3
Carlee Mullinax (Montevallo),0.295,0.949,122,8,36,5,0,8,17,65,0.533,25,1,27,2,0.416,1,3
Alaina Hampton (Alabama Huntsville),0.295,0.984,139,26,41,18,0,8,39,83,0.597,15,7,21,1,0.387,2,2
Alexa Scalzo (Lee),0.293,0.739,133,31,39,3,0,2,21,48,0.361,17,3,21,0,0.378,3,5
Kailyn Lofton (Delta State),0.291,0.77,158,22,46,8,0,5,33,69,0.437,11,1,26,0,0.333,4,7
Hannah Scarbrough (West Georgia),0.29,0.949,131,30,38,7,1,9,21,74,0.565,18,2,21,1,0.384,0,2
Jordan Lafosse (Mississippi College),0.287,0.736,136,19,39,3,4,1,21,53,0.39,10,4,14,1,0.346,3,5
Lila Young (Alabama Huntsville),0.285,0.768,158,34,45,14,1,1,20,64,0.405,20,1,11,1,0.363,3,2
Kamryn Eaton (Mississippi College),0.282,0.999,85,24,24,6,1,5,16,47,0.553,15,11,25,0,0.446,1,0
Hannah Mynard (West Alabama),0.281,0.907,146,31,41,15,1,6,27,76,0.521,18,7,32,1,0.386,0,1
Gracie Green (Alabama Huntsville),0.281,0.751,121,26,34,6,0,2,19,46,0.38,15,3,9,1,0.371,1,11
Hunter Meadows (Valdosta State),0.281,0.661,114,25,32,1,1,0,4,35,0.307,13,0,14,0,0.354,0,3
Ashley Dyer (Christian Brothers),0.28,1.113,107,40,30,7,2,10,26,71,0.664,22,14,14,0,0.449,4,0
Alley Taylor (West Georgia),0.279,0.77,136,26,38,6,1,4,24,58,0.426,14,0,25,0,0.344,1,0
Rylie Grantz (West Alabama),0.277,0.852,65,9,18,2,0,5,17,35,0.538,4,0,18,0,0.314,1,6
Brooke Fagan (Mississippi College),0.276,0.816,145,35,40,12,0,3,22,61,0.421,24,6,12,0,0.395,2,4
Katelyn Hayman (Delta State),0.276,0.735,116,24,32,6,0,1,12,41,0.353,7,13,25,0,0.382,0,5
RJ Simpson (Christian Brothers),0.275,0.985,109,22,30,8,0,9,37,65,0.596,15,6,21,1,0.389,1,2
Jessica Ford (West Florida),0.273,0.848,132,31,36,9,1,7,24,68,0.515,13,0,27,0,0.333,2,1
Taylor Clegg (West Alabama),0.273,0.767,143,32,39,7,3,1,34,55,0.385,25,2,26,0,0.382,3,11
Margaret Morgan (Auburn Montgomery),0.271,0.733,85,6,23,5,0,2,17,34,0.4,6,2,7,0,0.333,0,12
Georgia Hughes (Montevallo),0.271,0.693,107,23,29,4,1,0,15,35,0.327,13,3,17,0,0.366,0,1
Molly Cobb (Auburn Montgomery),0.27,0.78,137,24,37,7,0,7,27,65,0.474,6,2,14,2,0.306,2,0
Sydnee Pawlak (Montevallo),0.269,0.77,130,29,35,7,1,3,26,53,0.408,18,1,23,0,0.362,0,2
Josie Bond (Christian Brothers),0.268,0.653,149,36,40,2,3,0,15,48,0.322,13,2,26,0,0.331,2,6
Bailee Avants (Mississippi College),0.268,0.595,41,13,11,1,0,0,3,12,0.293,2,0,13,0,0.302,0,0
Kayla Mayo (West Florida),0.266,0.782,124,24,33,8,1,4,26,55,0.444,12,3,13,0,0.338,3,9
Idalia Alarcon (Union),0.264,0.678,110,14,29,5,0,2,15,40,0.364,9,0,24,1,0.314,2,11
